ne_id,division
A2484-4A21-51,中山區
A3683-4A51-02,南港區
A0651-4A22-51,中正區
A2366-4A21-01,中正區
A3810-4A22-01,信義區
A3014-4A22-01,信義區
A1938-4A21-51,北投區
A3791-4A22-01,中山區
A3452-4A21-01,中山區
A2851-4A21-01,大安區
A5664-4A21-51,內湖區
A3581-4A21-01,中正區
A0215-4A22-51,內湖區
A2975-4A51-01,信義區
A2913-4A22-01,松山區
A3492-4A21-01,文山區
A3809-4A22-01,信義區
A3614-4A21-01,北投區
A5669-4A22-51,松山區
A5667-4A22-51,南港區
A3822-4A21-51,士林區
A0135-4A22-51,中正區
A5346-4A22-51,中正區
A2302-4A21-01,中山區
A4573-4A51-01,中正區
A5085-4A51-01,中正區
A3566-4A21-01,大安區
A5321-4A51-01,文山區
NNH-4A21-52,內湖區
A1108-4A21-51,中正區
A5472-4A22-51,松山區
A5035-4A22-51,信義區
A5036-4A22-51,信義區
A2222-4A21-01,中山區
A2307-4A21-01,中正區
NNH-4A21-51,內湖區
A2168-4A21-01,中正區
A2513-4A21-01,中正區
A2737-4A21-01,中山區
A1745-4A21-01,文山區
A2445-4A21-01,信義區
A0113-4A22-51,中山區
A2194-4A21-01,中山區
A3351-4A53-01,士林區
A2988-4A22-01,松山區
A2500-4A21-01,中山區
A2278-4A21-01,萬華區
A2844-4A21-01,中正區
A2348-4A21-01,信義區
A2349-4A21-01,信義區
A2772-4A21-01,松山區
A3750-4A21-01,中正區
A0562-4A21-51,內湖區
A0116-4A21-01,松山區
A2702-4A21-01,大安區
A2346-4A21-01,信義區
A2832-4A21-01,大安區
A3516-4A21-01,文山區
A2534-4A21-01,文山區
A0204-4A21-01,中山區
A4886-4A51-01,中正區
A2464-4A21-01,松山區
A2544-4A21-01,文山區
A3103-4A21-01,中正區
A2533-4A21-01,文山區
A3494-4A21-01,文山區
A2853-4A21-51,內湖區
A0666-4A21-01,松山區
A2359-4A22-51,大安區
A0274-4A21-51,信義區
A3201-4A21-01,北投區
A4394-4A22-51,內湖區
A2937-4A21-01,中山區
A2791-4A21-01,大安區
A4500-4A51-01,北投區
A2667-4A21-01,松山區
